Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",50.812300,-30.175200,0.000000,top
"C2","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",41.554400,-16.268300,-90.000000,top
"C3","100uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",34.594800,-68.212100,-90.000000,top
"C4","100uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",41.694500,-30.988000,180.000000,top
"C5","100uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",42.316400,-24.130000,90.000000,top
"D1","LED","LED_0603_1608Metric",48.793500,-67.208400,180.000000,top
"D2","LED","LED_D5.0mm",173.731000,-17.520600,90.000000,top
"D3","LED","LED_D5.0mm",181.351000,-17.520600,90.000000,top
"D4","LED","LED_D5.0mm",188.971000,-17.520600,90.000000,top
"D5","LED","LED_D5.0mm",196.591000,-17.520600,90.000000,top
"D6","LED","LED_D5.0mm",202.941000,-23.870600,0.000000,top
"D7","LED","LED_D5.0mm",202.941000,-31.490600,0.000000,top
"D8","LED","LED_D5.0mm",202.941000,-39.110600,0.000000,top
"D9","LED","LED_D5.0mm",202.941000,-46.730600,0.000000,top
"D10","LED","LED_D5.0mm",65.781000,-17.520600,90.000000,top
"D11","LED","LED_D5.0mm",73.401000,-17.520600,90.000000,top
"D12","LED","LED_D5.0mm",81.021000,-17.520600,90.000000,top
"D13","LED","LED_D5.0mm",88.641000,-17.520600,90.000000,top
"D14","LED","LED_D5.0mm",94.991000,-23.870600,0.000000,top
"D15","LED","LED_D5.0mm",94.991000,-31.490600,0.000000,top
"D16","LED","LED_D5.0mm",94.991000,-39.110600,0.000000,top
"D17","LED","LED_D5.0mm",94.991000,-46.730600,0.000000,top
"D18","LED","LED_D5.0mm",202.941000,-59.430600,0.000000,top
"D19","LED","LED_D5.0mm",202.941000,-67.050600,0.000000,top
"D20","LED","LED_D5.0mm",202.941000,-74.670600,0.000000,top
"D21","LED","LED_D5.0mm",202.941000,-82.290600,0.000000,top
"D22","LED","LED_D5.0mm",94.991000,-59.430600,0.000000,top
"D23","LED","LED_D5.0mm",94.991000,-67.050600,0.000000,top
"D24","LED","LED_D5.0mm",94.991000,-74.670600,0.000000,top
"D25","LED","LED_D5.0mm",94.991000,-82.290600,0.000000,top
"D26","LED","LED_D5.0mm",196.591000,-91.180600,90.000000,top
"D27","LED","LED_D5.0mm",188.971000,-91.180600,90.000000,top
"D28","LED","LED_D5.0mm",181.351000,-91.180600,90.000000,top
"D29","LED","LED_D5.0mm",173.731000,-91.180600,90.000000,top
"D30","LED","LED_D5.0mm",88.641000,-91.180600,90.000000,top
"D31","LED","LED_D5.0mm",81.021000,-91.180600,90.000000,top
"D32","LED","LED_D5.0mm",73.401000,-91.180600,90.000000,top
"D33","LED","LED_D5.0mm",65.781000,-91.180600,90.000000,top
"D34","LED","LED_D5.0mm",164.841000,-82.290600,0.000000,top
"D35","LED","LED_D5.0mm",164.841000,-74.670600,0.000000,top
"D36","LED","LED_D5.0mm",164.841000,-67.050600,0.000000,top
"D37","LED","LED_D5.0mm",164.841000,-59.430600,0.000000,top
"D38","LED","LED_D5.0mm",56.891000,-82.290600,0.000000,top
"D39","LED","LED_D5.0mm",56.891000,-74.670600,0.000000,top
"D40","LED","LED_D5.0mm",56.891000,-67.050600,0.000000,top
"D41","LED","LED_D5.0mm",56.891000,-59.430600,0.000000,top
"D42","LED","LED_D5.0mm",164.841000,-46.730600,0.000000,top
"D43","LED","LED_D5.0mm",164.841000,-39.110600,0.000000,top
"D44","LED","LED_D5.0mm",164.841000,-31.490600,0.000000,top
"D45","LED","LED_D5.0mm",164.841000,-23.870600,0.000000,top
"D46","LED","LED_D5.0mm",56.891000,-46.730600,0.000000,top
"D47","LED","LED_D5.0mm",56.891000,-39.110600,0.000000,top
"D48","LED","LED_D5.0mm",56.891000,-31.490600,0.000000,top
"D49","LED","LED_D5.0mm",56.891000,-23.870600,0.000000,top
"D50","LED","LED_D5.0mm",173.731000,-54.350600,90.000000,top
"D51","LED","LED_D5.0mm",181.351000,-54.350600,90.000000,top
"D52","LED","LED_D5.0mm",188.971000,-54.350600,90.000000,top
"D53","LED","LED_D5.0mm",196.591000,-54.350600,90.000000,top
"D54","LED","LED_D5.0mm",65.781000,-54.350600,90.000000,top
"D55","LED","LED_D5.0mm",73.401000,-54.350600,90.000000,top
"D56","LED","LED_D5.0mm",81.021000,-54.350600,90.000000,top
"D57","LED","LED_D5.0mm",88.641000,-54.350600,90.000000,top
"D58","LED","LED_D5.0mm",221.991000,-17.520600,90.000000,top
"D59","LED","LED_D5.0mm",229.611000,-17.520600,90.000000,top
"D60","LED","LED_D5.0mm",237.231000,-17.520600,90.000000,top
"D61","LED","LED_D5.0mm",244.851000,-17.520600,90.000000,top
"D62","LED","LED_D5.0mm",114.041000,-17.520600,90.000000,top
"D63","LED","LED_D5.0mm",121.661000,-17.520600,90.000000,top
"D64","LED","LED_D5.0mm",129.281000,-17.520600,90.000000,top
"D65","LED","LED_D5.0mm",136.901000,-17.520600,90.000000,top
"D66","LED","LED_D5.0mm",251.201000,-23.870600,0.000000,top
"D67","LED","LED_D5.0mm",251.201000,-31.490600,0.000000,top
"D68","LED","LED_D5.0mm",251.201000,-39.110600,0.000000,top
"D69","LED","LED_D5.0mm",251.201000,-46.730600,0.000000,top
"D70","LED","LED_D5.0mm",143.251000,-23.870600,0.000000,top
"D71","LED","LED_D5.0mm",143.251000,-31.490600,0.000000,top
"D72","LED","LED_D5.0mm",143.251000,-39.110600,0.000000,top
"D73","LED","LED_D5.0mm",143.251000,-46.730600,0.000000,top
"D74","LED","LED_D5.0mm",251.201000,-59.430600,0.000000,top
"D75","LED","LED_D5.0mm",251.201000,-67.050600,0.000000,top
"D76","LED","LED_D5.0mm",251.201000,-74.670600,0.000000,top
"D77","LED","LED_D5.0mm",251.201000,-82.290600,0.000000,top
"D78","LED","LED_D5.0mm",143.251000,-59.430600,0.000000,top
"D79","LED","LED_D5.0mm",143.251000,-67.050600,0.000000,top
"D80","LED","LED_D5.0mm",143.251000,-74.670600,0.000000,top
"D81","LED","LED_D5.0mm",143.251000,-82.290600,0.000000,top
"D82","LED","LED_D5.0mm",244.851000,-91.180600,90.000000,top
"D83","LED","LED_D5.0mm",237.231000,-91.180600,90.000000,top
